name,html_url,lines_of_code
devops-exercises,https://github.com/bregman-arie/devops-exercises,4600
sentry,https://github.com/getsentry/sentry,445060
cli,https://github.com/httpie/cli,6906
walle-web,https://github.com/meolu/walle-web,26844
xonsh,https://github.com/xonsh/xonsh,27931
healthchecks,https://github.com/healthchecks/healthchecks,22064
sh,https://github.com/amoffat/sh,1958
checkov,https://github.com/bridgecrewio/checkov,82874
st2,https://github.com/StackStorm/st2,40354
clearml,https://github.com/allegroai/clearml,43237
xxh,https://github.com/xxh/xxh,2314
faraday,https://github.com/infobyte/faraday,161244
opendevops,https://github.com/opendevops-cn/opendevops,30159
adminset,https://github.com/guohongze/adminset,30138
errbot,https://github.com/errbotio/errbot,6263
bisheng,https://github.com/dataelement/bisheng,3985
pytest-testinfra,https://github.com/pytest-dev/pytest-testinfra,1064
robusta,https://github.com/robusta-dev/robusta,46066
mitogen,https://github.com/mitogen-hq/mitogen,13394
developer-roadmap,https://github.com/DasyDong/developer-roadmap,29388
mist-ce,https://github.com/mistio/mist-ce,67157
kapitan,https://github.com/kapicorp/kapitan,14891
cicd-goat,https://github.com/cider-security-research/cicd-goat,70343
nixops,https://github.com/NixOS/nixops,7139
webterminal,https://github.com/jimmy201602/webterminal,775948
